FABRICANTE,CODIGO_PECA,DESCRICAO,CHAVE_DE_BUSCA,MARCA_VEICULO,MODELO_VEICULO,ANOS_APLICACAO,CONTEXTO_IA
AXIOS,110450,BUCHA BANDEJA DIANTEIRA MENOR,VOLKSWAGEN GOL 83/89,VOLKSWAGEN,GOL,1983 a 1989,BUCHA BANDEJA DIANTEIRA MENOR compatível com VOLKSWAGEN GOL. Aplicação: 1983 a 1989. Fabricante: AXIOS. Código: 110450.
AXIOS,110495,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO,FORD ROYALE 92/96,FORD,ROYALE,1992 a 1996,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO compatível com FORD ROYALE. Aplicação: 1992 a 1996. Fabricante: AXIOS. Código: 110495.
AXIOS,110495,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO,FORD VERSAILLES GALAXY 91/,FORD,VERSAILLES GALAXY,1991,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO compatível com FORD VERSAILLES GALAXY. Aplicação: 1991. Fabricante: AXIOS. Código: 110495.
AXIOS,110495,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO,VOLKSWAGEN SANTANA 11-90/06,VOLKSWAGEN,SANTANA 11-,1990 a 2006,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO compatível com VOLKSWAGEN SANTANA 11-. Aplicação: 1990 a 2006. Fabricante: AXIOS. Código: 110495.
AXIOS,110495,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO,VOLKSWAGEN SANTANA QUANTUM 88/02,VOLKSWAGEN,SANTANA QUANTUM,1988 a 2002,BUCHA BANDEJA DIANTEIRA CAPA DE FERRO compatível com VOLKSWAGEN SANTANA QUANTUM. Aplicação: 1988 a 2002. Fabricante: AXIOS. Código: 110495.
AXIOS,110502,BUCHA BANDEJA DIANTEIRA MAIOR,VOLKSWAGEN GOL EXCETO GV / G5 E GVI 90/14,VOLKSWAGEN,GOL EXCETO GV / G5 E GVI,1990 a 2014,BUCHA BANDEJA DIANTEIRA MAIOR compatível com VOLKSWAGEN GOL EXCETO GV / G5 E GVI. Aplicação: 1990 a 2014. Fabricante: AXIOS. Código: 110502.
AXIOS,110502,BUCHA BANDEJA DIANTEIRA MAIOR,VOLKSWAGEN VOYAGE 90/95,VOLKSWAGEN,VOYAGE,1990 a 1995,BUCHA BANDEJA DIANTEIRA MAIOR compatível com VOLKSWAGEN VOYAGE. Aplicação: 1990 a 1995. Fabricante: AXIOS. Código: 110502.
AXIOS,110502,BUCHA BANDEJA DIANTEIRA MAIOR,VOLKSWAGEN SANTANA 84/10,VOLKSWAGEN,SANTANA,1984 a 2010,BUCHA BANDEJA DIANTEIRA MAIOR compatível com VOLKSWAGEN SANTANA. Aplicação: 1984 a 2010. Fabricante: AXIOS. Código: 110502.
AXIOS,110502,BUCHA BANDEJA DIANTEIRA MAIOR,VOLKSWAGEN SANTANA QUANTUM 1.8 84/00,VOLKSWAGEN,SANTANA QUANTUM 1.8,1984 a 2000,BUCHA BANDEJA DIANTEIRA MAIOR compatível com VOLKSWAGEN SANTANA QUANTUM 1.8. Aplicação: 1984 a 2000. Fabricante: AXIOS. Código: 110502.
AXIOS,110502,BUCHA BANDEJA DIANTEIRA MAIOR,VOLKSWAGEN SAVEIRO 88/14,VOLKSWAGEN,SAVEIRO,1988 a 2014,BUCHA BANDEJA DIANTEIRA MAIOR compatível com VOLKSWAGEN SAVEIRO. Aplicação: 1988 a 2014. Fabricante: AXIOS. Código: 110502.
AXIOS,110690,BUCHA BRACO DO OSCILANTE DIANTEIRA,FIAT ELBA REGATTA WEEKEND 91/,FIAT,ELBA REGATTA WEEKEND,1991,BUCHA BRACO DO OSCILANTE DIANTEIRA compatível com FIAT ELBA REGATTA WEEKEND. Aplicação: 1991. Fabricante: AXIOS. Código: 110690.
AXIOS,110690,BUCHA BRACO DO OSCILANTE DIANTEIRA,FIAT PREMIO 91/,FIAT,PREMIO,1991,BUCHA BRACO DO OSCILANTE DIANTEIRA compatível com FIAT PREMIO. Aplicação: 1991. Fabricante: AXIOS. Código: 110690.
AXIOS,110690,BUCHA BRACO DO OSCILANTE DIANTEIRA,FIAT UNO 91/,FIAT,UNO,1991,BUCHA BRACO DO OSCILANTE DIANTEIRA compatível com FIAT UNO. Aplicação: 1991. Fabricante: AXIOS. Código: 110690.
AXIOS,110690,BUCHA BRACO DO OSCILANTE DIANTEIRA,FIAT FIORINO FIORUNO 91/,FIAT,FIORINO FIORUNO,1991,BUCHA BRACO DO OSCILANTE DIANTEIRA compatível com FIAT FIORINO FIORUNO. Aplicação: 1991. Fabricante: AXIOS. Código: 110690.
AXIOS,110690,BUCHA BRACO DO OSCILANTE DIANTEIRA,FIAT UNO MILLE 91/,FIAT,UNO MILLE,1991,BUCHA BRACO DO OSCILANTE DIANTEIRA compatível com FIAT UNO MILLE. Aplicação: 1991. Fabricante: AXIOS. Código: 110690.
AXIOS,110894,BUCHA DO EIXO TRASEIRO,CHEVROLET PRISMA 06/12,CHEVROLET,PRISMA,2006 a 2012,BUCHA DO EIXO TRASEIRO compatível com CHEVROLET PRISMA. Aplicação: 2006 a 2012. Fabricante: AXIOS. Código: 110894.
AXIOS,110894,BUCHA DO EIXO TRASEIRO,CHEVROLET CORSA SEDAN 95/02,CHEVROLET,CORSA SEDAN,1995 a 2002,BUCHA DO EIXO TRASEIRO compatível com CHEVROLET CORSA SEDAN. Aplicação: 1995 a 2002. Fabricante: AXIOS. Código: 110894.
AXIOS,110894,BUCHA DO EIXO TRASEIRO,CHEVROLET CORSA WAGON 97/02,CHEVROLET,CORSA WAGON,1997 a 2002,BUCHA DO EIXO TRASEIRO compatível com CHEVROLET CORSA WAGON. Aplicação: 1997 a 2002. Fabricante: AXIOS. Código: 110894.
AXIOS,110894,BUCHA DO EIXO TRASEIRO,CHEVROLET CORSA PICK-UP 95/03,CHEVROLET,CORSA PICK-UP,1995 a 2003,BUCHA DO EIXO TRASEIRO compatível com CHEVROLET CORSA PICK-UP. Aplicação: 1995 a 2003. Fabricante: AXIOS. Código: 110894.
AXIOS,110894,BUCHA DO EIXO TRASEIRO,CHEVROLET CORSA 94/02,CHEVROLET,CORSA,1994 a 2002,BUCHA DO EIXO TRASEIRO compatível com CHEVROLET CORSA. Aplicação: 1994 a 2002. Fabricante: AXIOS. Código: 110894.
AXIOS,110895,BUCHA DA BANDEJA DIANTEIRA,CHEVROLET TIGRA 98/99,CHEVROLET,TIGRA,1998 a 1999,BUCHA DA BANDEJA DIANTEIRA compatível com CHEVROLET TIGRA. Aplicação: 1998 a 1999. Fabricante: AXIOS. Código: 110895.
AXIOS,110895,BUCHA DA BANDEJA DIANTEIRA,CHEVROLET CELTA 01/15,CHEVROLET,CELTA,2001 a 2015,BUCHA DA BANDEJA DIANTEIRA compatível com CHEVROLET CELTA. Aplicação: 2001 a 2015. Fabricante: AXIOS. Código: 110895.
AXIOS,110895,BUCHA DA BANDEJA DIANTEIRA,CHEVROLET CORSA 94/02,CHEVROLET,CORSA,1994 a 2002,BUCHA DA BANDEJA DIANTEIRA compatível com CHEVROLET CORSA. Aplicação: 1994 a 2002. Fabricante: AXIOS. Código: 110895.
AXIOS,110895,BUCHA DA BANDEJA DIANTEIRA,CHEVROLET CORSA PICK-UP 95/03,CHEVROLET,CORSA PICK-UP,1995 a 2003,BUCHA DA BANDEJA DIANTEIRA compatível com CHEVROLET CORSA PICK-UP. Aplicação: 1995 a 2003. Fabricante: AXIOS. Código: 110895.
AXIOS,110895,BUCHA DA BANDEJA DIANTEIRA,CHEVROLET CORSA SEDAN 95/02,CHEVROLET,CORSA SEDAN,1995 a 2002,BUCHA DA BANDEJA DIANTEIRA compatível com CHEVROLET CORSA SEDAN. Aplicação: 1995 a 2002. Fabricante: AXIOS. Código: 110895.
AXIOS,111034,BUCHA DA TRAVESSA DIANTEIRA,CHEVROLET ASTRA 99/12,CHEVROLET,ASTRA,1999 a 2012,BUCHA DA TRAVESSA DIANTEIRA compatível com CHEVROLET ASTRA. Aplicação: 1999 a 2012. Fabricante: AXIOS. Código: 111034.
AXIOS,111034,BUCHA DA TRAVESSA DIANTEIRA,CHEVROLET ZAFIRA 01/12,CHEVROLET,ZAFIRA,2001 a 2012,BUCHA DA TRAVESSA DIANTEIRA compatível com CHEVROLET ZAFIRA. Aplicação: 2001 a 2012. Fabricante: AXIOS. Código: 111034.
AXIOS,111034,BUCHA DA TRAVESSA DIANTEIRA,CHEVROLET VECTRA  3- 96/11,CHEVROLET,VECTRA  3-,1996 a 2011,BUCHA DA TRAVESSA DIANTEIRA compatível com CHEVROLET VECTRA  3-. Aplicação: 1996 a 2011. Fabricante: AXIOS. Código: 111034.
AXIOS,111035,BUCHA DO EIXO TRASEIRO,FORD KA 97/07,FORD,KA,1997 a 2007,BUCHA DO EIXO TRASEIRO compatível com FORD KA. Aplicação: 1997 a 2007. Fabricante: AXIOS. Código: 111035.
AXIOS,111035,BUCHA DO EIXO TRASEIRO,FORD FIESTA EXCETO NOVO 96/02,FORD,FIESTA EXCETO NOVO,1996 a 2002,BUCHA DO EIXO TRASEIRO compatível com FORD FIESTA EXCETO NOVO. Aplicação: 1996 a 2002. Fabricante: AXIOS. Código: 111035.
AXIOS,111035,BUCHA DO EIXO TRASEIRO,FORD ESCORT II ZETEC 97/03,FORD,ESCORT II ZETEC,1997 a 2003,BUCHA DO EIXO TRASEIRO compatível com FORD ESCORT II ZETEC. Aplicação: 1997 a 2003. Fabricante: AXIOS. Código: 111035.
AXIOS,111038,BUCHA DIANTEIRA BANDEJA DIANTEIRA,FIAT PALIO TODOS 96/11,FIAT,PALIO TODOS,1996 a 2011,BUCHA DIANTEIRA BANDEJA DIANTEIRA compatível com FIAT PALIO TODOS. Aplicação: 1996 a 2011. Fabricante: AXIOS. Código: 111038.
AXIOS,111038,BUCHA DIANTEIRA BANDEJA DIANTEIRA,FIAT PALIO WEEKEND TODOS 97/11,FIAT,PALIO WEEKEND TODOS,1997 a 2011,BUCHA DIANTEIRA BANDEJA DIANTEIRA compatível com FIAT PALIO WEEKEND TODOS. Aplicação: 1997 a 2011. Fabricante: AXIOS. Código: 111038.
AXIOS,111038,BUCHA DIANTEIRA BANDEJA DIANTEIRA,FIAT SIENA TODOS 98/11,FIAT,SIENA TODOS,1998 a 2011,BUCHA DIANTEIRA BANDEJA DIANTEIRA compatível com FIAT SIENA TODOS. Aplicação: 1998 a 2011. Fabricante: AXIOS. Código: 111038.
AXIOS,111038,BUCHA DIANTEIRA BANDEJA DIANTEIRA,FIAT STRADA TODOS 99/04,FIAT,STRADA TODOS,1999 a 2004,BUCHA DIANTEIRA BANDEJA DIANTEIRA compatível com FIAT STRADA TODOS. Aplicação: 1999 a 2004. Fabricante: AXIOS. Código: 111038.
AXIOS,111125,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM",VOLKSWAGEN GOL EXCETO G5 E G6 97/14,VOLKSWAGEN,GOL EXCETO G5 E G6,1997 a 2014,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM compatível com VOLKSWAGEN GOL EXCETO G5 E G6. Aplicação: 1997 a 2014. Fabricante: AXIOS. Código: 111125."
AXIOS,111125,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM",VOLKSWAGEN PARATI 97/12,VOLKSWAGEN,PARATI,1997 a 2012,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM compatível com VOLKSWAGEN PARATI. Aplicação: 1997 a 2012. Fabricante: AXIOS. Código: 111125."
AXIOS,111125,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM",VOLKSWAGEN SAVEIRO 97/08,VOLKSWAGEN,SAVEIRO,1997 a 2008,"BUCHA DIANTEIRA QUATRO MOTOR 12,5MM compatível com VOLKSWAGEN SAVEIRO. Aplicação: 1997 a 2008. Fabricante: AXIOS. Código: 111125."
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,AUDI A3 99/06,AUDI,A3,1999 a 2006,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com AUDI A3. Aplicação: 1999 a 2006. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,AUDI A1 11/,AUDI,A1,2011,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com AUDI A1. Aplicação: 2011. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,VOLKSWAGEN GOLF NACIONAL 99/14,VOLKSWAGEN,GOLF NACIONAL,1999 a 2014,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com VOLKSWAGEN GOLF NACIONAL. Aplicação: 1999 a 2014. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,VOLKSWAGEN NEW BEETLE NOVO FUSCA 99/14,VOLKSWAGEN,NEW BEETLE NOVO FUSCA,1999 a 2014,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com VOLKSWAGEN NEW BEETLE NOVO FUSCA. Aplicação: 1999 a 2014. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,VOLKSWAGEN GOL G5/GV 08/,VOLKSWAGEN,GOL G5/GV,2008,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com VOLKSWAGEN GOL G5/GV. Aplicação: 2008. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,VOLKSWAGEN SAVEIRO G5/GV 08/,VOLKSWAGEN,SAVEIRO G5/GV,2008,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com VOLKSWAGEN SAVEIRO G5/GV. Aplicação: 2008. Fabricante: AXIOS. Código: 111247.
AXIOS,111247,BUCHA TRASEIRA BANDEJA DIANTEIRA,VOLKSWAGEN UP 14/18,VOLKSWAGEN,UP,2014 a 2018,BUCHA TRASEIRA BANDEJA DIANTEIRA compatível com VOLKSWAGEN UP. Aplicação: 2014 a 2018. Fabricante: AXIOS. Código: 111247.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,AUDI A3 99/,AUDI,A3,1999,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com AUDI A3. Aplicação: 1999. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,VOLKSWAGEN FOX 15/21,VOLKSWAGEN,FOX,2015 a 2021,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com VOLKSWAGEN FOX. Aplicação: 2015 a 2021. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,VOLKSWAGEN GOL G5 / GV 08/,VOLKSWAGEN,GOL G5 / GV,2008,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com VOLKSWAGEN GOL G5 / GV. Aplicação: 2008. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,VOLKSWAGEN GOLF IMPORTADO 94/98,VOLKSWAGEN,GOLF IMPORTADO,1994 a 1998,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com VOLKSWAGEN GOLF IMPORTADO. Aplicação: 1994 a 1998. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,VOLKSWAGEN GOLF NACIONAL 99/14,VOLKSWAGEN,GOLF NACIONAL,1999 a 2014,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com VOLKSWAGEN GOLF NACIONAL. Aplicação: 1999 a 2014. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,VOLKSWAGEN NEW BEETLE 99/,VOLKSWAGEN,NEW BEETLE,1999,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com VOLKSWAGEN NEW BEETLE. Aplicação: 1999. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,SEAT CORDOBA 95/02,SEAT,CORDOBA,1995 a 2002,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com SEAT CORDOBA. Aplicação: 1995 a 2002. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,SEAT IBIZA 95/02,SEAT,IBIZA,1995 a 2002,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com SEAT IBIZA. Aplicação: 1995 a 2002. Fabricante: AXIOS. Código: 111249.
AXIOS,111249,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,SEAT INCA 99/02,SEAT,INCA,1999 a 2002,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com SEAT INCA. Aplicação: 1999 a 2002. Fabricante: AXIOS. Código: 111249.
AXIOS,111508,BUCHA TRASEIRA DA BANDEJA DIANTEIRA,CHEVROLET MONTANA 03/12,CHEVROLET,MONTANA,2003 a 2012,BUCHA TRASEIRA DA BANDEJA DIANTEIRA compatível com CHEVROLET MONTANA. Aplicação: 2003 a 2012. Fabricante: AXIOS. Código: 111508.
AXIOS,111508,BUCHA TRASEIRA DA BANDEJA DIANTEIRA,CHEVROLET MERIVA 03/12,CHEVROLET,MERIVA,2003 a 2012,BUCHA TRASEIRA DA BANDEJA DIANTEIRA compatível com CHEVROLET MERIVA. Aplicação: 2003 a 2012. Fabricante: AXIOS. Código: 111508.
AXIOS,111520,BUCHA DIANTEIRA DO FEIXE DE MOLAS,FIAT FIORINO FIORINO 94/,FIAT,FIORINO FIORINO,1994,BUCHA DIANTEIRA DO FEIXE DE MOLAS compatível com FIAT FIORINO FIORINO. Aplicação: 1994. Fabricante: AXIOS. Código: 111520.
AXIOS,111520,BUCHA DIANTEIRA DO FEIXE DE MOLAS,FIAT STRADA INCLUINDO NOVA STRAD 99/,FIAT,STRADA INCLUINDO NOVA STRAD,1999,BUCHA DIANTEIRA DO FEIXE DE MOLAS compatível com FIAT STRADA INCLUINDO NOVA STRAD. Aplicação: 1999. Fabricante: AXIOS. Código: 111520.
AXIOS,111521,BUCHA TRASEIRA DO FEIXE DE MOLAS,FIAT FIORINO FIORUNO 94/,FIAT,FIORINO FIORUNO,1994,BUCHA TRASEIRA DO FEIXE DE MOLAS compatível com FIAT FIORINO FIORUNO. Aplicação: 1994. Fabricante: AXIOS. Código: 111521.
AXIOS,111521,BUCHA TRASEIRA DO FEIXE DE MOLAS,FIAT DOBLO 02/,FIAT,DOBLO,2002,BUCHA TRASEIRA DO FEIXE DE MOLAS compatível com FIAT DOBLO. Aplicação: 2002. Fabricante: AXIOS. Código: 111521.
AXIOS,111521,BUCHA TRASEIRA DO FEIXE DE MOLAS,FIAT STRADA 99/,FIAT,STRADA,1999,BUCHA TRASEIRA DO FEIXE DE MOLAS compatível com FIAT STRADA. Aplicação: 1999. Fabricante: AXIOS. Código: 111521.
AXIOS,111526,BUCHA DA BANDEJA TRASEIRA DIANTEIRA,FIAT STILO 02/,FIAT,STILO,2002,BUCHA DA BANDEJA TRASEIRA DIANTEIRA compatível com FIAT STILO. Aplicação: 2002. Fabricante: AXIOS. Código: 111526.
AXIOS,111526,BUCHA DA BANDEJA TRASEIRA DIANTEIRA,FIAT BRAVO 10/,FIAT,BRAVO,2010,BUCHA DA BANDEJA TRASEIRA DIANTEIRA compatível com FIAT BRAVO. Aplicação: 2010. Fabricante: AXIOS. Código: 111526.
AXIOS,111536,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,FIAT DOBLO 02/,FIAT,DOBLO,2002,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com FIAT DOBLO. Aplicação: 2002. Fabricante: AXIOS. Código: 111536.
AXIOS,111536,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,FIAT ARGO 17/,FIAT,ARGO,2017,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com FIAT ARGO. Aplicação: 2017. Fabricante: AXIOS. Código: 111536.
AXIOS,111536,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,FIAT CRONOS 18/,FIAT,CRONOS,2018,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com FIAT CRONOS. Aplicação: 2018. Fabricante: AXIOS. Código: 111536.
AXIOS,111536,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,FIAT MOBI 16/,FIAT,MOBI,2016,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com FIAT MOBI. Aplicação: 2016. Fabricante: AXIOS. Código: 111536.
AXIOS,111536,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA,FIAT GRAND SIEN 12/,FIAT,GRAND SIEN,2012,BUCHA DIANTEIRA DA BANDEJA DIANTEIRA compatível com FIAT GRAND SIEN. Aplicação: 2012. Fabricante: AXIOS. Código: 111536.
AXIOS,111588,BUCHA DO BRACO DA SUSPENSAO,FORD ESCORT I 83/92,FORD,ESCORT I,1983 a 1992,BUCHA DO BRACO DA SUSPENSAO compatível com FORD ESCORT I. Aplicação: 1983 a 1992. Fabricante: AXIOS. Código: 111588.
AXIOS,111588,BUCHA DO BRACO DA SUSPENSAO,FORD VERONA I 89/92,FORD,VERONA I,1989 a 1992,BUCHA DO BRACO DA SUSPENSAO compatível com FORD VERONA I. Aplicação: 1989 a 1992. Fabricante: AXIOS. Código: 111588.
AXIOS,111588,BUCHA DO BRACO DA SUSPENSAO,FORD ESCORT HOBBY 93/,FORD,ESCORT HOBBY,1993,BUCHA DO BRACO DA SUSPENSAO compatível com FORD ESCORT HOBBY. Aplicação: 1993. Fabricante: AXIOS. Código: 111588.
AXIOS,111588,BUCHA DO BRACO DA SUSPENSAO,VOLKSWAGEN APOLLO 90/92,VOLKSWAGEN,APOLLO,1990 a 1992,BUCHA DO BRACO DA SUSPENSAO compatível com VOLKSWAGEN APOLLO. Aplicação: 1990 a 1992. Fabricante: AXIOS. Código: 111588.
